,username,avg_comment_similarity,avg_comment_time_interval,avg_reply_speed,avg_toxicity
0,Mka28,0.6454660579766037,0 days 00:03:51,0 days 07:49:33,0.7960520440881903
1,Pink_Britches,0.4160142508039188,0 days 20:08:34,0 days 06:22:09,0.9148184061050415
2,FormerBTfan,0.6724969946942548,1 days 07:28:25,1 days 05:21:36,0.902997100353241
3,fordr015,0.7853095415547429,0 days 04:32:41,0 days 02:25:08,0.8357308208942413
4,wiredcrusader,0.6724611405462818,7 days 06:48:08,0 days 06:51:13,0.655160923798879
5,Peruvian-in-TX,0.5461174983445439,0 days 07:35:52,0 days 03:53:00,0.897536788135767
6,Bulrog22,0.4258936780898021,3 days 17:03:18,0 days 06:42:37,0.8545173406600952
7,HoldTime1831,0.6901799738465826,0 days 09:01:57,0 days 03:06:50,0.5019525262442502
8,i_like_2_travel,0.7145618638938767,0 days 03:27:22,0 days 11:10:53,0.6316680014133453
9,Orange_milin,0.7115328205851977,1 days 20:13:13,0 days 02:49:06,0.4394254982471466
10,JurassicParkFood,0.5721880053199085,0 days 05:23:53,0 days 02:59:41,0.7033826609452566
11,bleeblahbleeblahblee,0.5158671081463183,3 days 02:37:17,0 days 06:46:07,0.8058795290333884
12,Wee_Bey123,0.4849096577035551,0 days 11:09:45,0 days 02:59:44,0.7208064794540405
13,biggybenis,0.5593209653153889,1 days 05:10:30,0 days 07:03:06,0.9410842061042786
14,Realistic-Tear-9300,0.32121945903689736,15 days 18:34:31,3 days 18:55:37,0.9467123448848724
15,Marine_vet_patriot,0.36798349632203864,0 days 11:32:07,0 days 06:49:32,0.9353124499320984
16,Stormveil138,0.5250795927500317,0 days 09:15:09,12 days 13:27:07,0.7630978405475617
17,_whydah_,0.690188935253615,0 days 06:06:28,0 days 02:42:55,0.5420381426811218
18,shaneandheather2010,0.45892675037110386,1 days 21:51:47,0 days 06:56:40,0.31451234221458435
19,MT_2A7X1_DAVIS,0.8473106988601742,0 days 08:03:37,0 days 06:17:47,0.4074189066886902
20,RollTider1971,0.6217985903799805,0 days 04:39:28,0 days 04:12:35,0.6322526037693024
21,Turgid_Sojourner,0.5358771091795985,2 days 01:30:26,0 days 08:57:48,0.6442376176516215
22,trextec,0.5187359943461962,1 days 10:13:57,340 days 00:16:07,0.6750203867753347
23,Based_Semen,0.581194946068929,4 days 21:38:52,0 days 01:30:52,0.7813606517655509
24,duTemplar,0.5791031033095072,0 days 02:37:51,0 days 08:23:16,0.8195685148239136
25,BenAustinRock,0.6831691888463786,0 days 04:19:51,0 days 08:04:02,0.358731210231781
26,KrimsonStorm,0.6536818607924472,0 days 02:59:35,0 days 05:48:24,0.47597381472587585
27,Jizzlobber42,0.5355213187804502,3 days 08:26:57,0 days 14:12:11,0.8699738383293152
28,user48683638692683,0.6215987091704899,0 days 05:11:49,0 days 09:05:56,0.7947205007076263
29,HillbillySwank,0.6014008745891636,0 days 06:20:16,0 days 13:08:17,0.7225933372974396
30,Shirley-Eugest,0.5843661686553567,1 days 10:36:47,0 days 05:53:24,0.30982765555381775
31,FartPartyFriday,0.28494314132488263,4 days 01:17:58,0 days 10:00:34,0.7224902311960856
32,Mtitan1,0.6353160097328456,0 days 12:49:09,0 days 05:44:38,0.8208546042442322
33,Dafrick,0.6656580161861889,0 days 18:28:48,0 days 06:25:38,0.9009331345558167
34,rockstar2022,0.6445488329730182,0 days 11:33:56,0 days 01:44:08,0.9430424571037292
35,Lenwulf,0.79006026988402,2 days 17:27:34,0 days 05:16:21,0.6612801849842072
36,BanzaKongo,0.5731321635323381,3 days 23:03:50,0 days 08:43:35,0.6550889511903127
37,ISK_Reynolds,0.6351802019461459,0 days 16:46:54,0 days 12:57:33,0.4016874134540558
38,jonfromdelocated,0.37469324913274166,0 days 06:07:16,0 days 08:46:46,0.8060579299926758
