,username,comment_karma,submission_karma,karma_ratio,avg_comment_similarity,avg_toxicity,avg_reply_speed,avg_comment_time_interval
0,GrandMink,600,816,0.7353,0.663182952,0.10410671,0 days 00:05:08,2 days 03:54:57
1,Independent_Day7209,212,5200,0.0408,0.388920433,0.029127397,0 days 00:21:39,0 days 08:07:21
2,WarmBicycle8961,5,1,5,0.514269969,0.292614936,0 days 02:08:21,48 days 14:34:49
3,Flimsy-Insurance-978,102,1,102,0.335880822,0.106026864,0 days 03:30:24,0 days 00:00:37
4,Markjug67,3,1,3,0.389102775,0.008184216,0 days 04:10:41,0 days 00:19:51
5,Excellenepperg,48,1,48,0.526995977,0.003283268,0 days 03:43:55,0 days 00:00:27
6,Adventurouenu,19,1,19,0.341576636,0.189303848,0 days 03:27:20,0 days 00:00:27
7,Accordinobfc,39,1,39,0.472281164,0.018311474,0 days 03:09:32,0 days 00:00:32
8,Negativhampiona,201,2147,0.0936,0.223282412,0.043080032,0 days 00:05:43,0 days 01:50:58
9,vedor65384,55,3463,0.0159,0.318304317,0.039348401,0 days 00:08:30,0 days 04:15:46
10,DiligentlyLarge,203,635,0.3197,0.358864009,0.002839072,0 days 23:25:34,0 days 00:00:09
11,Expensive-Cap-6341,0,1,0,0.39563805,0.132569057,0 days 14:56:27,0 days 00:25:44
12,piantavc,97,1378,0.0704,0.390081373,0.020454342,0 days 00:39:04,8 days 09:57:24
13,ArshIvanna,0,1,0,0.570292171,0.000921105,0 days 10:32:45,0 days 00:28:01
14,Yellowappl,10,1,10,0.560041645,0.168131043,0 days 02:13:59,0 days 00:00:21
15,Low-Cabinet6980,66,1,66,0.457429221,0.16632277,0 days 06:10:11,0 days 00:00:42
16,uprightfascism_87,7,3461,0.002,0.450474775,0.043095704,0 days 00:03:47,0 days 17:22:38
17,polpinka,21,1,21,0.301694074,0.071561288,0 days 04:56:24,0 days 00:00:42
18,whereabouts84,78,1,78,0.576332628,0.04171151,0 days 03:41:32,0 days 00:00:36
19,Beautifedgehog,4,1,4,0.22162499,0.075098228,0 days 00:27:50,8 days 20:31:27
20,Dsowsy41,68,1,68,0.324039051,0.33566598,0 days 00:19:01,6 days 16:45:23
21,VacantDossier,37,1,37,0.348468548,0.376990651,0 days 06:51:35,0 days 00:00:18
22,Frifkijud9,-6,1,-6,0.638235565,0.248953802,0 days 01:07:25,0 days 00:00:17
23,Fearleensionbh,17,1,17,0.533415419,0.010197974,0 days 02:29:46,0 days 00:00:52
24,outcasterajidae768,386396,8113,47.6268,0.641765792,0.241839522,0 days 03:30:28,0 days 02:59:05
25,webtechiez,19,1,19,0.630863486,0.003820947,0 days 01:16:14,0 days 00:34:54
26,Apartexalt698,21,1,21,0.506666176,0.103364235,0 days 02:56:54,0 days 00:00:19
27,AgePsycholog,50,61,0.8197,0.426152877,0.250878223,0 days 00:15:30,4 days 06:52:43
28,South_Tensio,51,1,51,0.385587193,0.007307281,0 days 01:32:46,0 days 00:00:24
29,Independentfdy,6,214,0.028,0.76285289,0.00062568,0 days 00:26:44,0 days 00:10:23
