,username,avg_comment_similarity,avg_toxicity,avg_reply_speed,avg_comment_time_interval,comment_intervals
0,Lord-Sprinkles,0.5432308483345385,0.06166700536462789,0 days 04:53:15,0 days 03:32:11,"[datetime.timedelta(seconds=13656), datetime.timedelta(seconds=44863), datetime.timedelta(seconds=334), datetime.timedelta(seconds=29288), datetime.timedelta(seconds=333), datetime.timedelta(seconds=862), datetime.timedelta(seconds=2317), datetime.timedelta(seconds=807), datetime.timedelta(seconds=18071), datetime.timedelta(seconds=32583), datetime.timedelta(seconds=415), datetime.timedelta(seconds=11092), datetime.timedelta(seconds=74), datetime.timedelta(seconds=23545)]"
1,anonymous_lighting,0.5152771900949955,0.1523531039400647,0 days 07:27:51,0 days 05:02:37,"[datetime.timedelta(days=1, seconds=2652), datetime.timedelta(seconds=25237), datetime.timedelta(seconds=19010), datetime.timedelta(seconds=61576), datetime.timedelta(seconds=4312), datetime.timedelta(seconds=107), datetime.timedelta(seconds=1979), datetime.timedelta(seconds=48), datetime.timedelta(seconds=704), datetime.timedelta(seconds=36), datetime.timedelta(seconds=1290), datetime.timedelta(seconds=914), datetime.timedelta(seconds=42770), datetime.timedelta(seconds=7167)]"
2,Kitsunezaki,0.35912759648823894,0.0393657567522799,1 days 17:14:13,5 days 05:05:34,"[datetime.timedelta(seconds=1045), datetime.timedelta(seconds=76), datetime.timedelta(days=1, seconds=67505), datetime.timedelta(days=2, seconds=29900), datetime.timedelta(seconds=62), datetime.timedelta(seconds=702), datetime.timedelta(seconds=201), datetime.timedelta(days=8, seconds=49329), datetime.timedelta(seconds=7), datetime.timedelta(seconds=3916), datetime.timedelta(days=37, seconds=65459), datetime.timedelta(days=9, seconds=53309), datetime.timedelta(days=5, seconds=71453), datetime.timedelta(days=7, seconds=113)]"
3,bleedingjim,0.49341042615510866,0.14614519483875482,4 days 00:41:37,0 days 08:30:13,"[datetime.timedelta(seconds=7779), datetime.timedelta(seconds=120), datetime.timedelta(seconds=549), datetime.timedelta(seconds=785), datetime.timedelta(seconds=85057), datetime.timedelta(days=1, seconds=6529), datetime.timedelta(seconds=222), datetime.timedelta(seconds=239), datetime.timedelta(seconds=27212), datetime.timedelta(days=1, seconds=138), datetime.timedelta(seconds=538), datetime.timedelta(seconds=141), datetime.timedelta(seconds=42185), datetime.timedelta(seconds=84290)]"
4,Jos_Meid,0.6751064527395546,0.11025345136101047,0 days 02:34:39,0 days 08:33:43,"[datetime.timedelta(days=3, seconds=76321), datetime.timedelta(seconds=929), datetime.timedelta(seconds=15672), datetime.timedelta(seconds=632), datetime.timedelta(seconds=445), datetime.timedelta(seconds=13169), datetime.timedelta(seconds=280), datetime.timedelta(seconds=6499), datetime.timedelta(seconds=460), datetime.timedelta(seconds=64), datetime.timedelta(seconds=4341), datetime.timedelta(seconds=6398), datetime.timedelta(seconds=4324), datetime.timedelta(seconds=42791)]"
5,Calm-Hovercraft9858,0.2915791599064394,0.08673702249846732,0 days 00:09:34,0 days 01:44:31,"[datetime.timedelta(seconds=12022), datetime.timedelta(seconds=47944), datetime.timedelta(seconds=3231), datetime.timedelta(seconds=159), datetime.timedelta(seconds=13227), datetime.timedelta(seconds=5087), datetime.timedelta(seconds=1274), datetime.timedelta(seconds=297), datetime.timedelta(seconds=1996), datetime.timedelta(seconds=671), datetime.timedelta(seconds=104), datetime.timedelta(seconds=119), datetime.timedelta(seconds=1101), datetime.timedelta(seconds=563)]"
6,bpatches701,0.6018446192001564,0.10764383457911511,1 days 03:24:11,0 days 22:10:29,"[datetime.timedelta(seconds=255), datetime.timedelta(days=1, seconds=48386), datetime.timedelta(days=1, seconds=27360), datetime.timedelta(days=1, seconds=47403), datetime.timedelta(seconds=4689), datetime.timedelta(seconds=101), datetime.timedelta(seconds=986), datetime.timedelta(seconds=28743), datetime.timedelta(seconds=175), datetime.timedelta(seconds=10709), datetime.timedelta(days=1, seconds=66959), datetime.timedelta(days=3, seconds=7151), datetime.timedelta(days=3, seconds=10591), datetime.timedelta(seconds=95)]"
7,No_Key4143,0.5351404097949096,0.022429621766787023,0 days 08:03:12,2 days 03:13:36,"[datetime.timedelta(days=1, seconds=64373), datetime.timedelta(seconds=13280), datetime.timedelta(seconds=651), datetime.timedelta(seconds=4076), datetime.timedelta(seconds=66313), datetime.timedelta(seconds=81), datetime.timedelta(days=7, seconds=40737), datetime.timedelta(seconds=99), datetime.timedelta(seconds=112), datetime.timedelta(seconds=5), datetime.timedelta(days=3, seconds=43267), datetime.timedelta(days=4, seconds=57938), datetime.timedelta(days=11, seconds=43605), datetime.timedelta(seconds=880)]"
8,BillyQz,0.6827205480085133,0.11280086929133783,0 days 08:47:18,0 days 00:10:20,"[datetime.timedelta(seconds=372), datetime.timedelta(seconds=527), datetime.timedelta(seconds=168), datetime.timedelta(seconds=1734), datetime.timedelta(seconds=162), datetime.timedelta(seconds=182), datetime.timedelta(seconds=61), datetime.timedelta(seconds=54), datetime.timedelta(seconds=79), datetime.timedelta(seconds=4414), datetime.timedelta(seconds=225), datetime.timedelta(seconds=61), datetime.timedelta(seconds=338), datetime.timedelta(seconds=301)]"
9,FiendishPole,0.5799459104720588,0.05629367612612744,0 days 07:52:44,0 days 01:29:40,"[datetime.timedelta(seconds=17296), datetime.timedelta(seconds=158), datetime.timedelta(seconds=45068), datetime.timedelta(seconds=2149), datetime.timedelta(seconds=4018), datetime.timedelta(seconds=197), datetime.timedelta(seconds=1270), datetime.timedelta(seconds=2236), datetime.timedelta(seconds=168), datetime.timedelta(seconds=304), datetime.timedelta(seconds=241), datetime.timedelta(seconds=580), datetime.timedelta(seconds=224), datetime.timedelta(seconds=1409)]"
