,username,avg_comment_similarity,avg_toxicity,avg_reply_speed,avg_comment_time_interval,comment_intervals
0,BinyaminDelta,0.5835337189896443,0.024002744657142708,0 days 07:36:47,0 days 15:40:23,"[datetime.timedelta(seconds=194), datetime.timedelta(days=1, seconds=44443), datetime.timedelta(days=3, seconds=13670), datetime.timedelta(days=3, seconds=19857), datetime.timedelta(seconds=14189), datetime.timedelta(seconds=11313), datetime.timedelta(seconds=281), datetime.timedelta(seconds=274), datetime.timedelta(seconds=134), datetime.timedelta(seconds=71014), datetime.timedelta(seconds=398), datetime.timedelta(seconds=8530), datetime.timedelta(seconds=520), datetime.timedelta(seconds=307)]"
1,BackOnThrottle,0.6751048836971203,0.0013002435288702449,0 days 07:30:03,7 days 08:27:33,"[datetime.timedelta(days=9, seconds=2899), datetime.timedelta(days=26, seconds=31324), datetime.timedelta(days=26, seconds=79281), datetime.timedelta(days=3, seconds=85788), datetime.timedelta(seconds=9503), datetime.timedelta(seconds=38891), datetime.timedelta(seconds=208), datetime.timedelta(days=6, seconds=49317), datetime.timedelta(seconds=160), datetime.timedelta(days=10, seconds=71110), datetime.timedelta(days=8, seconds=12792), datetime.timedelta(days=4, seconds=39696), datetime.timedelta(days=6, seconds=5253), datetime.timedelta(seconds=118)]"
2,arnott,0.5422444551400112,0.015379785812304666,0 days 06:52:47,0 days 03:44:51,"[datetime.timedelta(seconds=1708), datetime.timedelta(seconds=716), datetime.timedelta(seconds=8585), datetime.timedelta(seconds=77246), datetime.timedelta(seconds=1417), datetime.timedelta(seconds=561), datetime.timedelta(seconds=260), datetime.timedelta(seconds=2105), datetime.timedelta(seconds=3379), datetime.timedelta(seconds=23395), datetime.timedelta(seconds=49150), datetime.timedelta(seconds=5329), datetime.timedelta(seconds=13106), datetime.timedelta(seconds=1912)]"
3,Aggressive_Egg_9661,0.4591753954651675,0.2970701366701784,0 days 08:31:44,9 days 23:31:12,"[datetime.timedelta(seconds=70497), datetime.timedelta(days=1, seconds=48603), datetime.timedelta(days=50, seconds=48405), datetime.timedelta(days=11, seconds=22053), datetime.timedelta(days=1, seconds=66507), datetime.timedelta(days=2, seconds=85626), datetime.timedelta(days=1, seconds=6795), datetime.timedelta(days=5, seconds=84817), datetime.timedelta(seconds=801), datetime.timedelta(days=3, seconds=59549), datetime.timedelta(days=5, seconds=48941), datetime.timedelta(seconds=54443), datetime.timedelta(days=43, seconds=36190), datetime.timedelta(days=10, seconds=33774)]"
4,Ok-Entrepreneur-4466,0.4588362318161238,0.24883642176864668,0 days 20:02:17,0 days 06:05:53,"[datetime.timedelta(seconds=116), datetime.timedelta(days=2, seconds=64907), datetime.timedelta(seconds=206), datetime.timedelta(seconds=55), datetime.timedelta(seconds=2626), datetime.timedelta(seconds=98), datetime.timedelta(seconds=75), datetime.timedelta(seconds=48), datetime.timedelta(seconds=44), datetime.timedelta(seconds=659), datetime.timedelta(seconds=69), datetime.timedelta(seconds=3670), datetime.timedelta(seconds=437), datetime.timedelta(seconds=61527)]"
5,cloudskip,0.4520641185218291,0.10184698469238355,0 days 11:00:27,1 days 04:08:48,"[datetime.timedelta(seconds=243), datetime.timedelta(days=1, seconds=58092), datetime.timedelta(seconds=21898), datetime.timedelta(seconds=4988), datetime.timedelta(days=1, seconds=33872), datetime.timedelta(days=4, seconds=33559), datetime.timedelta(days=2, seconds=22394), datetime.timedelta(seconds=77193), datetime.timedelta(seconds=72789), datetime.timedelta(days=4, seconds=8759), datetime.timedelta(seconds=475), datetime.timedelta(seconds=333), datetime.timedelta(seconds=46147), datetime.timedelta(seconds=1045)]"
6,Legitimate_Finding44,0.37500481750171233,0.07511819227753828,0 days 10:46:13,1 days 17:47:15,"[datetime.timedelta(seconds=101), datetime.timedelta(days=9, seconds=85094), datetime.timedelta(days=5, seconds=67556), datetime.timedelta(days=3, seconds=30181), datetime.timedelta(days=3, seconds=73047), datetime.timedelta(seconds=8418), datetime.timedelta(seconds=52556), datetime.timedelta(seconds=60652), datetime.timedelta(seconds=43), datetime.timedelta(seconds=271), datetime.timedelta(seconds=90), datetime.timedelta(seconds=55), datetime.timedelta(seconds=13), datetime.timedelta(seconds=13)]"
7,OmegaOverlords,0.5784152501198052,0.09445250142210473,0 days 08:25:36,1 days 00:00:02,"[datetime.timedelta(seconds=70092), datetime.timedelta(seconds=24245), datetime.timedelta(seconds=49337), datetime.timedelta(days=4, seconds=23935), datetime.timedelta(seconds=36376), datetime.timedelta(days=1, seconds=73185), datetime.timedelta(seconds=400), datetime.timedelta(days=1, seconds=43805), datetime.timedelta(days=1, seconds=29873), datetime.timedelta(days=2, seconds=9398), datetime.timedelta(seconds=326), datetime.timedelta(seconds=65), datetime.timedelta(seconds=70925), datetime.timedelta(seconds=67)]"
8,bman567,0.4882739947090167,0.13737239026619744,0 days 06:27:03,0 days 19:39:50,"[datetime.timedelta(seconds=4506), datetime.timedelta(days=2, seconds=13178), datetime.timedelta(seconds=2111), datetime.timedelta(seconds=409), datetime.timedelta(seconds=73967), datetime.timedelta(seconds=137), datetime.timedelta(seconds=448), datetime.timedelta(seconds=3710), datetime.timedelta(seconds=35497), datetime.timedelta(seconds=3571), datetime.timedelta(days=1, seconds=69984), datetime.timedelta(seconds=169), datetime.timedelta(days=4, seconds=70564), datetime.timedelta(days=1, seconds=21603)]"
9,Wild_Frosting_5353,0.5567832125047476,0.1590370701897579,0 days 13:40:45,3 days 02:38:16,"[datetime.timedelta(days=6, seconds=52441), datetime.timedelta(days=3, seconds=74614), datetime.timedelta(seconds=834), datetime.timedelta(days=3, seconds=34928), datetime.timedelta(days=1, seconds=57067), datetime.timedelta(days=2, seconds=8752), datetime.timedelta(days=21, seconds=26595), datetime.timedelta(seconds=73407), datetime.timedelta(days=2, seconds=63893), datetime.timedelta(seconds=82203), datetime.timedelta(seconds=187), datetime.timedelta(seconds=595), datetime.timedelta(seconds=327), datetime.timedelta(seconds=2705)]"
