,username,avg_comment_similarity,avg_toxicity,avg_reply_speed,avg_comment_time_interval,comment_intervals
0,extantsextant,0.46553341875700016,0.0013275580092643698,0 days 03:38:29,5 days 15:43:17,"[datetime.timedelta(days=1, seconds=38048), datetime.timedelta(seconds=2228), datetime.timedelta(days=1, seconds=77535), datetime.timedelta(days=8, seconds=54713), datetime.timedelta(days=8, seconds=20303), datetime.timedelta(days=6, seconds=59258), datetime.timedelta(days=1, seconds=6649), datetime.timedelta(days=28, seconds=3201), datetime.timedelta(seconds=4548), datetime.timedelta(days=2, seconds=82635), datetime.timedelta(days=6, seconds=76933), datetime.timedelta(days=1, seconds=3309), datetime.timedelta(days=8, seconds=68350), datetime.timedelta(days=3, seconds=35454)]"
1,TheLincolnMemorial,0.5670843694145682,0.005382889555767179,0 days 05:34:12,8 days 03:48:14,"[datetime.timedelta(days=26, seconds=8293), datetime.timedelta(seconds=60637), datetime.timedelta(days=8, seconds=30942), datetime.timedelta(seconds=52050), datetime.timedelta(days=6, seconds=45052), datetime.timedelta(seconds=3013), datetime.timedelta(days=1, seconds=63805), datetime.timedelta(days=14, seconds=4691), datetime.timedelta(days=11, seconds=64253), datetime.timedelta(days=6, seconds=10267), datetime.timedelta(days=13, seconds=17905), datetime.timedelta(days=9, seconds=51587), datetime.timedelta(seconds=31700), datetime.timedelta(days=15, seconds=6728)]"
2,magnabonzo,0.5975598279298664,0.004351377545390278,0 days 06:43:50,0 days 13:29:40,"[datetime.timedelta(seconds=596), datetime.timedelta(seconds=81516), datetime.timedelta(days=1, seconds=68066), datetime.timedelta(seconds=3052), datetime.timedelta(seconds=18481), datetime.timedelta(seconds=45449), datetime.timedelta(seconds=43292), datetime.timedelta(seconds=70536), datetime.timedelta(seconds=310), datetime.timedelta(seconds=4204), datetime.timedelta(days=1, seconds=43998), datetime.timedelta(days=1, seconds=23559), datetime.timedelta(seconds=15526), datetime.timedelta(seconds=2333)]"
3,Kooky-Wafer-6032,0.6160923055947014,0.08092530636349693,0 days 07:30:45,10 days 10:11:48,"[datetime.timedelta(days=1, seconds=76449), datetime.timedelta(days=19, seconds=79273), datetime.timedelta(days=8, seconds=1476), datetime.timedelta(days=2, seconds=9872), datetime.timedelta(seconds=7651), datetime.timedelta(days=5, seconds=59070), datetime.timedelta(days=6, seconds=42728), datetime.timedelta(seconds=53199), datetime.timedelta(days=16, seconds=28410), datetime.timedelta(days=1, seconds=49704), datetime.timedelta(days=1, seconds=47698), datetime.timedelta(seconds=36116), datetime.timedelta(days=81, seconds=16310), datetime.timedelta(seconds=5957)]"
4,xp19375,0.6852262265958979,0.0007858270274785658,0 days 07:43:09,28 days 20:18:47,"[datetime.timedelta(seconds=699), datetime.timedelta(seconds=77538), datetime.timedelta(seconds=1206), datetime.timedelta(days=73, seconds=81092), datetime.timedelta(days=32, seconds=26730), datetime.timedelta(days=36, seconds=64232), datetime.timedelta(days=33, seconds=6451), datetime.timedelta(seconds=9094), datetime.timedelta(seconds=65780), datetime.timedelta(days=2, seconds=101), datetime.timedelta(days=139, seconds=36134), datetime.timedelta(days=64, seconds=67251), datetime.timedelta(seconds=4461), datetime.timedelta(days=19, seconds=64608)]"
5,empireofjade,0.484149613180602,0.0025975464726798237,0 days 05:30:51,2 days 13:21:24,"[datetime.timedelta(days=3, seconds=12692), datetime.timedelta(seconds=65797), datetime.timedelta(seconds=18821), datetime.timedelta(days=3, seconds=41419), datetime.timedelta(seconds=34727), datetime.timedelta(seconds=3155), datetime.timedelta(seconds=7885), datetime.timedelta(days=6, seconds=51831), datetime.timedelta(seconds=42963), datetime.timedelta(days=2, seconds=61458), datetime.timedelta(seconds=2780), datetime.timedelta(days=10, seconds=59340), datetime.timedelta(days=7, seconds=6086), datetime.timedelta(seconds=5029)]"
6,Illustrious-Roof1985,0.46749927270351577,0.09415731308205674,0 days 06:32:13,2 days 17:12:29,"[datetime.timedelta(seconds=2892), datetime.timedelta(days=15, seconds=75201), datetime.timedelta(seconds=9308), datetime.timedelta(seconds=24085), datetime.timedelta(seconds=9464), datetime.timedelta(seconds=5009), datetime.timedelta(seconds=96), datetime.timedelta(seconds=56117), datetime.timedelta(seconds=75330), datetime.timedelta(days=14, seconds=16925), datetime.timedelta(seconds=163), datetime.timedelta(seconds=275), datetime.timedelta(days=5, seconds=73614), datetime.timedelta(seconds=401)]"
7,bucky001,0.7962155500283905,0.005103350174613297,0 days 13:25:55,1 days 20:55:31,"[datetime.timedelta(seconds=249), datetime.timedelta(seconds=10985), datetime.timedelta(seconds=1302), datetime.timedelta(seconds=1225), datetime.timedelta(seconds=11531), datetime.timedelta(seconds=52864), datetime.timedelta(seconds=1858), datetime.timedelta(seconds=6634), datetime.timedelta(days=6, seconds=3953), datetime.timedelta(days=2, seconds=70419), datetime.timedelta(days=13, seconds=20125), datetime.timedelta(days=3, seconds=190), datetime.timedelta(seconds=8152), datetime.timedelta(seconds=1149)]"
8,vmerc,0.45564837619017556,0.0007320046269645293,1 days 16:33:04,4 days 05:13:42,"[datetime.timedelta(days=4, seconds=13587), datetime.timedelta(days=5, seconds=5040), datetime.timedelta(days=12, seconds=2241), datetime.timedelta(seconds=1339), datetime.timedelta(seconds=9112), datetime.timedelta(days=34, seconds=66828), datetime.timedelta(seconds=29651), datetime.timedelta(seconds=264), datetime.timedelta(seconds=24709), datetime.timedelta(seconds=1755), datetime.timedelta(seconds=2636), datetime.timedelta(seconds=15996), datetime.timedelta(days=1, seconds=23659), datetime.timedelta(seconds=66690)]"
9,Amishmercenary,0.9000228553143628,0.07069775773367534,0 days 00:39:26,0 days 01:55:36,"[datetime.timedelta(seconds=2784), datetime.timedelta(seconds=2042), datetime.timedelta(seconds=3918), datetime.timedelta(seconds=69680), datetime.timedelta(seconds=963), datetime.timedelta(seconds=1846), datetime.timedelta(seconds=1982), datetime.timedelta(seconds=687), datetime.timedelta(seconds=498), datetime.timedelta(seconds=5723), datetime.timedelta(seconds=368), datetime.timedelta(seconds=4854), datetime.timedelta(seconds=1498), datetime.timedelta(seconds=254)]"
