,username,avg_comment_similarity,avg_toxicity,avg_reply_speed,avg_comment_time_interval,comment_intervals
0,bichonista,0.6520577181738028,0.06684986776284253,0 days 04:11:58,0 days 23:45:30,"[datetime.timedelta(days=2, seconds=17188), datetime.timedelta(days=1, seconds=50261), datetime.timedelta(seconds=66322), datetime.timedelta(days=1, seconds=20422), datetime.timedelta(seconds=27172), datetime.timedelta(seconds=997), datetime.timedelta(seconds=74012), datetime.timedelta(seconds=9493), datetime.timedelta(days=3, seconds=54125), datetime.timedelta(seconds=26357), datetime.timedelta(seconds=1140), datetime.timedelta(days=2, seconds=9295), datetime.timedelta(seconds=59721), datetime.timedelta(seconds=3322)]"
1,dunnkw,0.6465253195365122,0.13126215545926243,0 days 04:06:04,0 days 05:13:15,"[datetime.timedelta(seconds=578), datetime.timedelta(seconds=63), datetime.timedelta(seconds=4022), datetime.timedelta(seconds=40283), datetime.timedelta(seconds=80093), datetime.timedelta(seconds=71039), datetime.timedelta(seconds=10934), datetime.timedelta(seconds=26362), datetime.timedelta(seconds=4601), datetime.timedelta(seconds=6260), datetime.timedelta(seconds=93), datetime.timedelta(seconds=69), datetime.timedelta(seconds=18690), datetime.timedelta(seconds=49)]"
2,kingmoobot,0.5163354240492585,0.1834170755309363,0 days 01:55:56,0 days 09:59:11,"[datetime.timedelta(seconds=80051), datetime.timedelta(seconds=78052), datetime.timedelta(days=1, seconds=17462), datetime.timedelta(seconds=1719), datetime.timedelta(seconds=57964), datetime.timedelta(seconds=83), datetime.timedelta(seconds=74), datetime.timedelta(seconds=598), datetime.timedelta(days=2, seconds=1241), datetime.timedelta(seconds=80), datetime.timedelta(seconds=4932), datetime.timedelta(seconds=1419), datetime.timedelta(seconds=131), datetime.timedelta(seconds=309)]"
3,BloopityBlue,0.7109634204962266,0.15311624659225345,0 days 06:22:02,0 days 02:23:43,"[datetime.timedelta(seconds=4736), datetime.timedelta(seconds=1119), datetime.timedelta(seconds=24581), datetime.timedelta(seconds=7442), datetime.timedelta(seconds=2677), datetime.timedelta(seconds=211), datetime.timedelta(seconds=9931), datetime.timedelta(seconds=9470), datetime.timedelta(seconds=31569), datetime.timedelta(seconds=20579), datetime.timedelta(seconds=227), datetime.timedelta(seconds=4757), datetime.timedelta(seconds=997), datetime.timedelta(seconds=2425)]"
4,Alemaya34,0.5313955610691204,0.00819958623033017,0 days 10:34:54,20 days 02:35:17,"[datetime.timedelta(seconds=49), datetime.timedelta(seconds=50812), datetime.timedelta(seconds=16), datetime.timedelta(seconds=80544), datetime.timedelta(seconds=21), datetime.timedelta(days=198, seconds=50027), datetime.timedelta(days=81, seconds=34985), datetime.timedelta(seconds=161), datetime.timedelta(seconds=95), datetime.timedelta(seconds=31), datetime.timedelta(seconds=18), datetime.timedelta(seconds=37), datetime.timedelta(seconds=21), datetime.timedelta(seconds=16)]"
5,Realistic-Demand-615,0.4491272485992686,0.19305174039133513,0 days 14:55:21,0 days 17:20:57,"[datetime.timedelta(seconds=85627), datetime.timedelta(seconds=142), datetime.timedelta(days=2, seconds=25572), datetime.timedelta(seconds=62193), datetime.timedelta(seconds=71159), datetime.timedelta(seconds=14018), datetime.timedelta(seconds=3636), datetime.timedelta(days=1, seconds=4259), datetime.timedelta(seconds=9123), datetime.timedelta(seconds=78540), datetime.timedelta(days=1, seconds=86043), datetime.timedelta(days=1, seconds=1757), datetime.timedelta(seconds=124), datetime.timedelta(seconds=209)]"
6,pipsdontsqueak,0.5666249312786615,0.018834696710109712,0 days 07:10:44,0 days 03:20:48,"[datetime.timedelta(seconds=69), datetime.timedelta(seconds=655), datetime.timedelta(seconds=657), datetime.timedelta(seconds=46777), datetime.timedelta(seconds=29588), datetime.timedelta(seconds=853), datetime.timedelta(seconds=3164), datetime.timedelta(seconds=124), datetime.timedelta(seconds=41670), datetime.timedelta(seconds=4783), datetime.timedelta(seconds=35757), datetime.timedelta(seconds=204), datetime.timedelta(seconds=1356), datetime.timedelta(seconds=3016)]"
7,honkballs,0.6131110480336365,0.09361246365799823,0 days 07:20:37,8 days 22:08:40,"[datetime.timedelta(seconds=85117), datetime.timedelta(days=7, seconds=13493), datetime.timedelta(seconds=5629), datetime.timedelta(seconds=30), datetime.timedelta(days=3, seconds=66752), datetime.timedelta(seconds=1607), datetime.timedelta(seconds=5213), datetime.timedelta(seconds=9556), datetime.timedelta(seconds=335), datetime.timedelta(days=77, seconds=4666)]"
8,Standgeblasen,0.5277076876990919,0.15831343963509426,0 days 11:38:07,0 days 23:07:05,"[datetime.timedelta(seconds=50103), datetime.timedelta(seconds=54814), datetime.timedelta(days=3, seconds=33288), datetime.timedelta(days=3, seconds=81319), datetime.timedelta(seconds=151), datetime.timedelta(seconds=81), datetime.timedelta(seconds=36174), datetime.timedelta(seconds=250), datetime.timedelta(seconds=5697), datetime.timedelta(seconds=84), datetime.timedelta(seconds=4893), datetime.timedelta(days=1, seconds=42829), datetime.timedelta(seconds=32142), datetime.timedelta(days=2, seconds=45721)]"
9,backupJM,0.7344802689521419,0.000714653260850658,0 days 00:49:53,0 days 00:28:31,"[datetime.timedelta(seconds=11018), datetime.timedelta(seconds=236), datetime.timedelta(seconds=5925), datetime.timedelta(seconds=130), datetime.timedelta(seconds=430), datetime.timedelta(seconds=1835), datetime.timedelta(seconds=578), datetime.timedelta(seconds=290), datetime.timedelta(seconds=1160), datetime.timedelta(seconds=680), datetime.timedelta(seconds=355), datetime.timedelta(seconds=611), datetime.timedelta(seconds=367), datetime.timedelta(seconds=344)]"
10,ThrowThemUnderTheBus,0.3136940738336828,0.21926908794945726,0 days 06:24:14,1 days 06:54:07,"[datetime.timedelta(seconds=1576), datetime.timedelta(seconds=60), datetime.timedelta(seconds=205), datetime.timedelta(days=3, seconds=73883), datetime.timedelta(days=2, seconds=81709), datetime.timedelta(seconds=21943), datetime.timedelta(days=5, seconds=72515), datetime.timedelta(seconds=136), datetime.timedelta(days=2, seconds=13560), datetime.timedelta(seconds=1146), datetime.timedelta(seconds=40626), datetime.timedelta(days=1, seconds=42764), datetime.timedelta(seconds=83887), datetime.timedelta(seconds=244)]"
11,ChairOwn118,0.6024536008842687,0.06781081827357412,39 days 18:13:02,0 days 13:37:17,"[datetime.timedelta(days=1, seconds=14330), datetime.timedelta(seconds=10524), datetime.timedelta(seconds=1385), datetime.timedelta(seconds=616), datetime.timedelta(seconds=60148), datetime.timedelta(days=1, seconds=14482), datetime.timedelta(days=1, seconds=20530), datetime.timedelta(seconds=36501), datetime.timedelta(seconds=45261), datetime.timedelta(seconds=38532), datetime.timedelta(seconds=1276), datetime.timedelta(seconds=86035), datetime.timedelta(days=1, seconds=11067), datetime.timedelta(seconds=232)]"
