,username,avg_comment_similarity,avg_toxicity,avg_reply_speed,avg_comment_time_interval,comment_intervals
0,bichonista,0.6520577181738028,0.06684986776284253,0 days 04:11:58,0 days 23:45:30,"[datetime.timedelta(days=2, seconds=17188), datetime.timedelta(days=1, seconds=50261), datetime.timedelta(seconds=66322), datetime.timedelta(days=1, seconds=20422), datetime.timedelta(seconds=27172), datetime.timedelta(seconds=997), datetime.timedelta(seconds=74012), datetime.timedelta(seconds=9493), datetime.timedelta(days=3, seconds=54125), datetime.timedelta(seconds=26357), datetime.timedelta(seconds=1140), datetime.timedelta(days=2, seconds=9295), datetime.timedelta(seconds=59721), datetime.timedelta(seconds=3322)]"
1,PeopleCanBeThisDumb,0.32930168644480917,0.06734719632659107,6 days 02:28:11,1 days 21:58:26,"[datetime.timedelta(seconds=7436), datetime.timedelta(days=4, seconds=882), datetime.timedelta(seconds=58023), datetime.timedelta(seconds=25524), datetime.timedelta(days=4, seconds=25782), datetime.timedelta(days=6, seconds=34409), datetime.timedelta(seconds=719), datetime.timedelta(seconds=28870), datetime.timedelta(seconds=7640), datetime.timedelta(days=5, seconds=85879), datetime.timedelta(seconds=83035), datetime.timedelta(seconds=55339), datetime.timedelta(days=1, seconds=28558), datetime.timedelta(days=1, seconds=60583)]"
2,lordatomosk,0.4066188463539611,0.19128707274406528,0 days 05:28:42,0 days 11:38:34,"[datetime.timedelta(seconds=15377), datetime.timedelta(seconds=42937), datetime.timedelta(seconds=63), datetime.timedelta(days=1, seconds=35814), datetime.timedelta(seconds=1829), datetime.timedelta(seconds=84608), datetime.timedelta(seconds=12266), datetime.timedelta(seconds=71756), datetime.timedelta(seconds=16167), datetime.timedelta(days=1, seconds=58821), datetime.timedelta(seconds=12735), datetime.timedelta(seconds=45640), datetime.timedelta(seconds=419), datetime.timedelta(seconds=15557)]"
3,ResponsibleHall9713,0.459217296885311,0.28148947545560077,0 days 02:16:01,0 days 21:22:53,"[datetime.timedelta(days=1, seconds=4652), datetime.timedelta(days=2, seconds=82114), datetime.timedelta(seconds=80054), datetime.timedelta(seconds=22), datetime.timedelta(days=6, seconds=8584), datetime.timedelta(seconds=35950), datetime.timedelta(seconds=6818), datetime.timedelta(seconds=11337), datetime.timedelta(seconds=24929), datetime.timedelta(seconds=348), datetime.timedelta(seconds=43483), datetime.timedelta(seconds=77), datetime.timedelta(seconds=1304), datetime.timedelta(seconds=349)]"
4,TubularStars,0.23098837377409995,0.2626758540398441,0 days 01:08:41,0 days 05:18:12,"[datetime.timedelta(days=1, seconds=3925), datetime.timedelta(seconds=663), datetime.timedelta(seconds=37), datetime.timedelta(seconds=30), datetime.timedelta(seconds=48), datetime.timedelta(seconds=31), datetime.timedelta(seconds=39241), datetime.timedelta(seconds=52905), datetime.timedelta(seconds=1618), datetime.timedelta(seconds=307), datetime.timedelta(seconds=188), datetime.timedelta(seconds=10491), datetime.timedelta(seconds=65009), datetime.timedelta(seconds=6389)]"
5,ram921,0.6341082048607499,0.0215380808726574,0 days 08:52:50,1 days 13:45:05,"[datetime.timedelta(days=6, seconds=79380), datetime.timedelta(days=4, seconds=67913), datetime.timedelta(days=2, seconds=28185), datetime.timedelta(days=1, seconds=71581), datetime.timedelta(days=2, seconds=1327), datetime.timedelta(days=3, seconds=76889), datetime.timedelta(seconds=3555), datetime.timedelta(seconds=4407), datetime.timedelta(seconds=701), datetime.timedelta(seconds=8508), datetime.timedelta(seconds=160), datetime.timedelta(seconds=1654), datetime.timedelta(seconds=253), datetime.timedelta(seconds=2951)]"
6,Wooden_Water_8547,0.666266665017038,0.022995617628718417,0 days 00:11:59,7 days 05:38:56,"[datetime.timedelta(days=101, seconds=17048), datetime.timedelta(seconds=2593), datetime.timedelta(seconds=1057), datetime.timedelta(seconds=681), datetime.timedelta(seconds=999), datetime.timedelta(seconds=389), datetime.timedelta(seconds=961), datetime.timedelta(seconds=168), datetime.timedelta(seconds=546), datetime.timedelta(seconds=118), datetime.timedelta(seconds=490), datetime.timedelta(seconds=52), datetime.timedelta(seconds=174), datetime.timedelta(seconds=229)]"
7,MadKingTyler,0.6922748280711265,0.12048352654092014,0 days 02:20:13,3 days 19:13:33,"[datetime.timedelta(days=6, seconds=60522), datetime.timedelta(days=7, seconds=27688), datetime.timedelta(days=8, seconds=18849), datetime.timedelta(days=2, seconds=54329), datetime.timedelta(days=2, seconds=9237), datetime.timedelta(days=2, seconds=31110), datetime.timedelta(seconds=33856), datetime.timedelta(seconds=2871), datetime.timedelta(seconds=5445), datetime.timedelta(seconds=10808), datetime.timedelta(seconds=1088), datetime.timedelta(days=13, seconds=39704), datetime.timedelta(days=5, seconds=76843), datetime.timedelta(days=3, seconds=78233)]"
8,cardanolovelace,0.48577682115108595,0.11766464709847545,0 days 02:05:10,1 days 22:05:25,"[datetime.timedelta(seconds=9012), datetime.timedelta(days=3, seconds=6334), datetime.timedelta(days=3, seconds=58856), datetime.timedelta(days=2, seconds=21062), datetime.timedelta(days=6, seconds=73255), datetime.timedelta(days=4, seconds=75541), datetime.timedelta(days=3, seconds=2259), datetime.timedelta(seconds=130), datetime.timedelta(seconds=105), datetime.timedelta(seconds=85748), datetime.timedelta(days=2, seconds=3213), datetime.timedelta(seconds=164), datetime.timedelta(seconds=32), datetime.timedelta(seconds=41)]"
9,dunnkw,0.6465253195365122,0.13126215545926243,0 days 04:06:04,0 days 05:13:15,"[datetime.timedelta(seconds=578), datetime.timedelta(seconds=63), datetime.timedelta(seconds=4022), datetime.timedelta(seconds=40283), datetime.timedelta(seconds=80093), datetime.timedelta(seconds=71039), datetime.timedelta(seconds=10934), datetime.timedelta(seconds=26362), datetime.timedelta(seconds=4601), datetime.timedelta(seconds=6260), datetime.timedelta(seconds=93), datetime.timedelta(seconds=69), datetime.timedelta(seconds=18690), datetime.timedelta(seconds=49)]"
